# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   0   0  3.71092e-01  -6.78667e-03   1.25522e-18   0.00000e+00
 50   0   5  3.71092e-01  -6.68356e-03  -1.17849e-03   0.00000e+00
 50   0  10  3.71092e-01  -6.37738e-03  -2.32118e-03   0.00000e+00
 50   0  14  3.71092e-01  -5.87743e-03  -3.39333e-03   0.00000e+00
 50   0  20  3.71092e-01  -5.19889e-03  -4.36239e-03   0.00000e+00
 50   0  25  3.71092e-01  -4.36239e-03  -5.19889e-03   0.00000e+00
 50   0  29  3.71092e-01  -3.39333e-03  -5.87743e-03   0.00000e+00
 50   0  35  3.71092e-01  -2.32118e-03  -6.37738e-03   0.00000e+00
 50   0  40  3.71092e-01  -1.17849e-03  -6.68356e-03   0.00000e+00
 50   0  45  3.71092e-01  -2.30703e-18  -6.78667e-03   0.00000e+00
 50   0  50  3.71092e-01   1.17849e-03  -6.68356e-03   0.00000e+00
 50   0  55  3.71092e-01   2.32118e-03  -6.37738e-03   0.00000e+00
 50   0  59  3.71092e-01   3.39333e-03  -5.87743e-03   0.00000e+00
 50   0  65  3.71092e-01   4.36239e-03  -5.19889e-03   0.00000e+00
 50   0  70  3.71092e-01   5.19889e-03  -4.36239e-03   0.00000e+00
 50   0  75  3.71092e-01   5.87743e-03  -3.39333e-03   0.00000e+00
 50   0  80  3.71092e-01   6.37738e-03  -2.32118e-03   0.00000e+00
 50   0  85  3.71092e-01   6.68356e-03  -1.17849e-03   0.00000e+00
 50   0  90  3.71092e-01   6.78667e-03  -2.49338e-18   0.00000e+00
 50   0  95  3.71092e-01   6.68356e-03   1.17849e-03   0.00000e+00
 50   0 100  3.71092e-01   6.37738e-03   2.32118e-03   0.00000e+00
 50   0 105  3.71092e-01   5.87743e-03   3.39333e-03   0.00000e+00
 50   0 110  3.71092e-01   5.19889e-03   4.36239e-03   0.00000e+00
 50   0 115  3.71092e-01   4.36239e-03   5.19889e-03   0.00000e+00
 50   0 119  3.71092e-01   3.39333e-03   5.87743e-03   0.00000e+00
 50   0 125  3.71092e-01   2.32118e-03   6.37738e-03   0.00000e+00
 50   0 130  3.71092e-01   1.17849e-03   6.68356e-03   0.00000e+00
 50   0 135  3.71092e-01   2.93464e-18   6.78667e-03   0.00000e+00
 50   0 140  3.71092e-01  -1.17849e-03   6.68356e-03   0.00000e+00
 50   0 145  3.71092e-01  -2.32118e-03   6.37738e-03   0.00000e+00
 50   0 150  3.71092e-01  -3.39333e-03   5.87743e-03   0.00000e+00
 50   0 155  3.71092e-01  -4.36239e-03   5.19889e-03   0.00000e+00
 50   0 160  3.71092e-01  -5.19889e-03   4.36239e-03   0.00000e+00
 50   0 165  3.71092e-01  -5.87743e-03   3.39333e-03   0.00000e+00
 50   0 170  3.71092e-01  -6.37738e-03   2.32118e-03   0.00000e+00
 50   0 175  3.71092e-01  -6.68356e-03   1.17849e-03   0.00000e+00
 50   0 180  3.71092e-01  -6.78667e-03   0.00000e+00   0.00000e+00
 50   1   0  3.71561e-01  -6.56828e-03   1.23654e-18  -5.43684e-22
 50   1   5  3.71563e-01  -6.46595e-03  -1.15914e-03   3.86908e-07
 50   1  10  3.71569e-01  -6.16211e-03  -2.28253e-03   7.70746e-07
 50   1  14  3.71577e-01  -5.66611e-03  -3.33553e-03   1.14847e-06
 50   1  20  3.71585e-01  -4.99322e-03  -4.28571e-03   1.51709e-06
 50   1  25  3.71589e-01  -4.16413e-03  -5.10381e-03   1.87369e-06
 50   1  29  3.71584e-01  -3.20427e-03  -5.76468e-03   2.21548e-06
 50   1  35  3.71567e-01  -2.14306e-03  -6.24802e-03   2.53978e-06
 50   1  40  3.71533e-01  -1.01291e-03  -6.53898e-03   2.84407e-06
 50   1  45  3.71480e-01   1.51748e-04  -6.62855e-03   3.12599e-06
 50   1  50  3.71406e-01   1.31547e-03  -6.51375e-03   3.38340e-06
 50   1  55  3.71318e-01   2.44284e-03  -6.19771e-03   3.61434e-06
 50   1  59  3.71221e-01   3.49942e-03  -5.68951e-03   3.81710e-06
 50   1  65  3.71129e-01   4.45274e-03  -5.00401e-03   3.99017e-06
 50   1  70  3.71056e-01   5.27320e-03  -4.16152e-03   4.13233e-06
 50   1  75  3.71013e-01   5.93502e-03  -3.18728e-03   4.24256e-06
 50   1  80  3.71010e-01   6.41716e-03  -2.11085e-03   4.32015e-06
 50   1  85  3.71051e-01   6.70413e-03  -9.65220e-04   4.36461e-06
 50   1  90  3.71129e-01   6.78667e-03   2.14300e-04   4.37573e-06
 50   1  95  3.71233e-01   6.66204e-03   1.39132e-03   4.35354e-06
 50   1 100  3.71347e-01   6.33414e-03   2.52969e-03   4.29835e-06
 50   1 105  3.71453e-01   5.81315e-03   3.59469e-03   4.21070e-06
 50   1 110  3.71536e-01   5.11508e-03   4.55412e-03   4.09136e-06
 50   1 115  3.71587e-01   4.26110e-03   5.37917e-03   3.94136e-06
 50   1 119  3.71603e-01   3.27681e-03   6.04511e-03   3.76191e-06
 50   1 125  3.71587e-01   2.19155e-03   6.53192e-03   3.55446e-06
 50   1 130  3.71545e-01   1.03760e-03   6.82479e-03   3.32064e-06
 50   1 135  3.71488e-01  -1.50671e-04   6.91459e-03   3.06227e-06
 50   1 140  3.71424e-01  -1.33775e-03   6.79816e-03   2.78131e-06
 50   1 145  3.71361e-01  -2.48801e-03   6.47854e-03   2.47990e-06
 50   1 150  3.71304e-01  -3.56681e-03   5.96492e-03   2.16029e-06
 50   1 155  3.71256e-01  -4.54157e-03   5.27242e-03   1.82488e-06
 50   1 160  3.71218e-01  -5.38280e-03   4.42164e-03   1.47613e-06
 50   1 165  3.71191e-01  -6.06505e-03   3.43803e-03   1.11661e-06
 50   1 170  3.71172e-01  -6.56767e-03   2.35109e-03   7.48950e-07
 50   1 175  3.71162e-01  -6.87546e-03   1.19349e-03   3.75842e-07
 50   1 180  3.71158e-01  -6.97910e-03   0.00000e+00   0.00000e+00
 50   2   0  3.71481e-01  -6.35047e-03   1.21694e-18  -1.10155e-21
 50   2   5  3.71471e-01  -6.24933e-03  -1.14005e-03   7.83869e-07
 50   2  10  3.71441e-01  -5.94902e-03  -2.24487e-03   1.56127e-06
 50   2  14  3.71391e-01  -5.45869e-03  -3.28034e-03   2.32579e-06
 50   2  20  3.71323e-01  -4.79326e-03  -4.21441e-03   3.07115e-06
 50   2  25  3.71245e-01  -3.97286e-03  -5.01804e-03   3.79127e-06
 50   2  29  3.71172e-01  -3.02229e-03  -5.66585e-03   4.48030e-06
 50   2  35  3.71130e-01  -1.97044e-03  -6.13677e-03   5.13272e-06
 50   2  40  3.71146e-01  -8.49715e-04  -6.41477e-03   5.74334e-06
 50   2  45  3.71237e-01   3.04721e-04  -6.48974e-03   6.30739e-06
 50   2  50  3.71392e-01   1.45614e-03  -6.35847e-03   6.82053e-06
 50   2  55  3.71565e-01   2.56804e-03  -6.02526e-03   7.27890e-06
 50   2  59  3.71683e-01   3.60611e-03  -5.50158e-03   7.67914e-06
 50   2  65  3.71677e-01   4.53957e-03  -4.80457e-03   8.01844e-06
 50   2  70  3.71535e-01   5.34123e-03  -3.95524e-03   8.29449e-06
 50   2  75  3.71320e-01   5.98653e-03  -2.97755e-03   8.50555e-06
 50   2  80  3.71147e-01   6.45335e-03  -1.89897e-03   8.65044e-06
 50   2  85  3.71119e-01   6.72357e-03  -7.51518e-04   8.72850e-06
 50   2  90  3.71255e-01   6.78610e-03   4.28626e-04   8.73965e-06
 50   2  95  3.71478e-01   6.63901e-03   1.60355e-03   8.68428e-06
 50   2 100  3.71657e-01   6.28909e-03   2.73680e-03   8.56334e-06
 50   2 105  3.71697e-01   5.74922e-03   3.79518e-03   8.37822e-06
 50   2 110  3.71586e-01   5.03586e-03   4.74847e-03   8.13079e-06
 50   2 115  3.71396e-01   4.16845e-03   5.56846e-03   7.82335e-06
 50   2 119  3.71229e-01   3.17048e-03   6.22905e-03   7.45859e-06
 50   2 125  3.71157e-01   2.07045e-03   6.70795e-03   7.03958e-06
 50   2 130  3.71199e-01   9.01495e-04   6.98881e-03   6.56972e-06
 50   2 135  3.71323e-01  -3.00407e-04   7.06252e-03   6.05271e-06
 50   2 140  3.71479e-01  -1.49844e-03   6.92735e-03   5.49253e-06
 50   2 145  3.71621e-01  -2.65660e-03   6.58816e-03   4.89339e-06
 50   2 150  3.71725e-01  -3.74066e-03   6.05561e-03   4.25974e-06
 50   2 155  3.71785e-01  -4.71881e-03   5.34552e-03   3.59616e-06
 50   2 160  3.71811e-01  -5.56230e-03   4.47856e-03   2.90744e-06
 50   2 165  3.71814e-01  -6.24614e-03   3.47991e-03   2.19844e-06
 50   2 170  3.71807e-01  -6.74987e-03   2.37868e-03   1.47416e-06
 50   2 175  3.71800e-01  -7.05834e-03   1.20719e-03   7.39642e-07
 50   2 180  3.71797e-01  -7.16221e-03   0.00000e+00   0.00000e+00
 50   3   0  3.71344e-01  -6.13691e-03   1.19665e-18  -1.67214e-21
 50   3   5  3.71345e-01  -6.03650e-03  -1.12173e-03   1.18984e-06
 50   3  10  3.71350e-01  -5.73825e-03  -2.20828e-03   2.36948e-06
 50   3  14  3.71375e-01  -5.25103e-03  -3.22531e-03   3.52885e-06
 50   3  20  3.71438e-01  -4.58951e-03  -4.14027e-03   4.65808e-06
 50   3  25  3.71553e-01  -3.77399e-03  -4.92340e-03   5.74765e-06
 50   3  29  3.71710e-01  -2.83019e-03  -5.54918e-03   6.78846e-06
 50   3  35  3.71856e-01  -1.78838e-03  -5.99798e-03   7.77193e-06
 50   3  40  3.71899e-01  -6.81503e-04  -6.25731e-03   8.69010e-06
 50   3  45  3.71773e-01   4.56958e-04  -6.32096e-03   9.53569e-06
 50   3  50  3.71520e-01   1.59375e-03  -6.18636e-03   1.03022e-05
 50   3  55  3.71320e-01   2.69415e-03  -5.85277e-03   1.09838e-05
 50   3  59  3.71365e-01   3.72075e-03  -5.32430e-03   1.15758e-05
 50   3  65  3.71637e-01   4.63727e-03  -4.61574e-03   1.20740e-05
 50   3  70  3.71860e-01   5.41589e-03  -3.75346e-03   1.24753e-05
 50   3  75  3.71770e-01   6.03843e-03  -2.76779e-03   1.27775e-05
 50   3  80  3.71451e-01   6.48780e-03  -1.68631e-03   1.29792e-05
 50   3  85  3.71281e-01   6.74239e-03  -5.37462e-04   1.30799e-05
 50   3  90  3.71471e-01   6.78495e-03   6.42992e-04   1.30800e-05
 50   3  95  3.71790e-01   6.61503e-03   1.81524e-03   1.29806e-05
 50   3 100  3.71856e-01   6.24633e-03   2.94426e-03   1.27835e-05
 50   3 105  3.71609e-01   5.69310e-03   4.00002e-03   1.24914e-05
 50   3 110  3.71358e-01   4.96568e-03   4.95046e-03   1.21075e-05
 50   3 115  3.71386e-01   4.07918e-03   5.76109e-03   1.16357e-05
 50   3 119  3.71659e-01   3.06029e-03   6.40340e-03   1.10803e-05
 50   3 125  3.71924e-01   1.94332e-03   6.86051e-03   1.04462e-05
