# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   0   0  3.68429e-01  -6.54446e-03  -6.13831e-05   1.39823e-07
 50   0   5  3.70947e-01  -6.40637e-03  -1.39542e-03   2.27984e-07
 50   0  10  3.70866e-01  -5.97596e-03  -2.50426e-03   2.60230e-07
 50   0  14  3.69498e-01  -5.72610e-03  -3.52421e-03   3.22590e-07
 50   0  20  3.69393e-01  -4.97081e-03  -4.46657e-03   4.89613e-07
 50   0  25  3.69116e-01  -3.96510e-03  -5.46837e-03   6.49828e-07
 50   0  29  3.69680e-01  -2.86044e-03  -6.15261e-03   6.70443e-07
 50   0  35  3.71413e-01  -1.91302e-03  -6.63080e-03   6.31375e-07
 50   0  40  3.72397e-01  -8.32423e-04  -6.96414e-03   7.67204e-07
 50   0  45  3.72751e-01   3.11541e-04  -7.09666e-03   9.03753e-07
 50   0  50  3.72970e-01   1.37646e-03  -6.94851e-03   9.63105e-07
 50   0  55  3.72974e-01   2.51332e-03  -6.53599e-03   9.83913e-07
 50   0  59  3.73007e-01   3.64322e-03  -5.96873e-03   1.04841e-06
 50   0  65  3.72840e-01   4.69923e-03  -5.21761e-03   1.25095e-06
 50   0  70  3.72592e-01   5.47306e-03  -4.22743e-03   2.13927e-06
 50   0  75  3.72022e-01   6.02859e-03  -3.33344e-03   2.92596e-06
 50   0  80  3.72486e-01   6.55657e-03  -2.26141e-03   3.80617e-06
 50   0  85  3.72906e-01   6.91650e-03  -7.58065e-04   6.06269e-06
 50   0  90  3.72492e-01   6.80448e-03   6.71308e-04   7.90260e-06
 50   0  95  3.71892e-01   6.56162e-03   1.67564e-03   4.52701e-06
 50   0 100  3.71443e-01   6.41161e-03   2.61886e-03   4.09832e-06
 50   0 105  3.71374e-01   5.94460e-03   3.62625e-03   3.58858e-06
 50   0 110  3.70717e-01   5.22008e-03   4.53322e-03   2.82853e-06
 50   0 115  3.70380e-01   4.35147e-03   5.45005e-03   2.12097e-06
 50   0 119  3.70400e-01   3.26536e-03   6.20279e-03   1.72315e-06
 50   0 125  3.70529e-01   2.27053e-03   6.57681e-03   1.51946e-06
 50   0 130  3.70824e-01   1.07585e-03   6.79264e-03   1.32124e-06
 50   0 135  3.71610e-01  -1.84476e-04   6.85516e-03   9.16623e-07
 50   0 140  3.71724e-01  -1.22979e-03   6.78865e-03   7.72848e-07
 50   0 145  3.71675e-01  -2.50359e-03   6.54912e-03   7.10725e-07
 50   0 150  3.72249e-01  -3.83997e-03   5.88885e-03   6.17105e-07
 50   0 155  3.72643e-01  -4.68593e-03   5.12006e-03   5.80200e-07
 50   0 160  3.72343e-01  -5.26502e-03   4.49370e-03   5.26709e-07
 50   0 165  3.72350e-01  -5.79071e-03   3.53325e-03   4.36812e-07
 50   0 170  3.72093e-01  -6.26097e-03   2.48980e-03   3.29998e-07
 50   0 175  3.70568e-01  -6.78623e-03   1.15986e-03   1.91984e-07
 50   0 180  3.68071e-01  -6.75754e-03   6.32928e-05  -6.16609e-08
 50   1   0  3.68738e-01  -6.31886e-03  -5.80384e-05   1.51300e-07
 50   1   5  3.71201e-01  -6.15713e-03  -1.36593e-03   5.15590e-07
 50   1  10  3.70990e-01  -5.81973e-03  -2.45918e-03   1.26636e-06
 50   1  14  3.69881e-01  -5.52038e-03  -3.37016e-03   1.41420e-06
 50   1  20  3.69841e-01  -4.76727e-03  -4.26965e-03   2.05579e-06
 50   1  25  3.69655e-01  -3.76625e-03  -5.18860e-03   2.58057e-06
 50   1  29  3.70418e-01  -2.65831e-03  -5.82748e-03   3.00080e-06
 50   1  35  3.71774e-01  -1.68961e-03  -6.37049e-03   3.31044e-06
 50   1  40  3.72715e-01  -6.48757e-04  -6.72409e-03   3.54048e-06
 50   1  45  3.73120e-01   4.29686e-04  -6.89131e-03   3.69164e-06
 50   1  50  3.73515e-01   1.52300e-03  -6.73252e-03   3.81972e-06
 50   1  55  3.73628e-01   2.70619e-03  -6.23035e-03   4.07570e-06
 50   1  59  3.73266e-01   3.76217e-03  -5.71136e-03   4.47929e-06
 50   1  65  3.73099e-01   4.73383e-03  -5.00721e-03   4.83753e-06
 50   1  70  3.72690e-01   5.40046e-03  -3.96379e-03   5.15188e-06
 50   1  75  3.72123e-01   6.01840e-03  -3.02963e-03   5.41425e-06
 50   1  80  3.72373e-01   6.58771e-03  -1.98018e-03   6.42014e-06
 50   1  85  3.72780e-01   6.93137e-03  -5.80423e-04   8.91971e-06
 50   1  90  3.72471e-01   6.81298e-03   7.09063e-04   8.72339e-06
 50   1  95  3.71852e-01   6.57017e-03   1.78401e-03   6.64278e-06
 50   1 100  3.71456e-01   6.40083e-03   2.79162e-03   6.80289e-06
 50   1 105  3.71321e-01   5.94840e-03   3.83898e-03   6.32759e-06
 50   1 110  3.70665e-01   5.20382e-03   4.79057e-03   5.68411e-06
 50   1 115  3.70492e-01   4.30763e-03   5.63675e-03   4.73504e-06
 50   1 119  3.70583e-01   3.19840e-03   6.36715e-03   4.24694e-06
 50   1 125  3.70562e-01   2.15470e-03   6.73129e-03   3.97254e-06
 50   1 130  3.71017e-01   1.02326e-03   6.90333e-03   3.53948e-06
 50   1 135  3.71749e-01  -2.76797e-04   6.95906e-03   3.21151e-06
 50   1 140  3.72101e-01  -1.33316e-03   6.84654e-03   3.10961e-06
 50   1 145  3.72122e-01  -2.65696e-03   6.60488e-03   2.97278e-06
 50   1 150  3.72670e-01  -3.92998e-03   5.94090e-03   2.53980e-06
 50   1 155  3.72816e-01  -4.85700e-03   5.23888e-03   2.15647e-06
 50   1 160  3.72783e-01  -5.43220e-03   4.55626e-03   1.81881e-06
 50   1 165  3.72761e-01  -6.01216e-03   3.58428e-03   1.43195e-06
 50   1 170  3.72353e-01  -6.57604e-03   2.48243e-03   9.84033e-07
 50   1 175  3.71174e-01  -7.06195e-03   1.21753e-03   3.82092e-07
 50   1 180  3.68729e-01  -7.04368e-03   5.85171e-05  -7.11964e-08
 50   2   0  3.69036e-01  -6.08378e-03  -6.05375e-05   1.61596e-07
 50   2   5  3.71708e-01  -5.92159e-03  -1.33247e-03   9.84377e-07
 50   2  10  3.71157e-01  -5.63858e-03  -2.42216e-03   2.06643e-06
 50   2  14  3.70614e-01  -5.34825e-03  -3.34953e-03   2.94077e-06
 50   2  20  3.70457e-01  -4.57295e-03  -4.18493e-03   3.56106e-06
 50   2  25  3.70215e-01  -3.51456e-03  -5.04920e-03   4.31023e-06
 50   2  29  3.70946e-01  -2.44510e-03  -5.64612e-03   4.83426e-06
 50   2  35  3.72217e-01  -1.48475e-03  -6.22515e-03   5.24511e-06
 50   2  40  3.73153e-01  -4.86401e-04  -6.56348e-03   5.77542e-06
 50   2  45  3.73424e-01   5.44126e-04  -6.73120e-03   6.82036e-06
 50   2  50  3.74174e-01   1.63357e-03  -6.48452e-03   8.04804e-06
 50   2  55  3.74494e-01   2.86060e-03  -5.95371e-03   9.19694e-06
 50   2  59  3.74077e-01   3.90640e-03  -5.39010e-03   9.23649e-06
 50   2  65  3.73581e-01   4.76025e-03  -4.76007e-03   1.03330e-05
 50   2  70  3.72902e-01   5.39829e-03  -3.75699e-03   1.07804e-05
 50   2  75  3.72183e-01   6.04579e-03  -2.75683e-03   1.10074e-05
 50   2  80  3.72215e-01   6.60571e-03  -1.62207e-03   1.12036e-05
 50   2  85  3.72657e-01   6.95003e-03  -4.33066e-04   1.23261e-05
 50   2  90  3.72407e-01   6.83735e-03   8.25023e-04   1.11936e-05
 50   2  95  3.71792e-01   6.59063e-03   1.96720e-03   1.03156e-05
 50   2 100  3.71338e-01   6.34892e-03   2.95508e-03   1.09959e-05
