# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 180   0  4.54141e-01  -5.25148e-03  -1.26560e-18   0.00000e+00
 50 180   5  4.54141e-01  -5.17170e-03   9.11910e-04   0.00000e+00
 50 180  10  4.54141e-01  -4.93478e-03   1.79611e-03   0.00000e+00
 50 180  14  4.54141e-01  -4.54792e-03   2.62574e-03   0.00000e+00
 50 180  20  4.54141e-01  -4.02287e-03   3.37559e-03   0.00000e+00
 50 180  25  4.54141e-01  -3.37559e-03   4.02287e-03   0.00000e+00
 50 180  29  4.54141e-01  -2.62574e-03   4.54792e-03   0.00000e+00
 50 180  35  4.54141e-01  -1.79611e-03   4.93478e-03   0.00000e+00
 50 180  40  4.54141e-01  -9.11910e-04   5.17170e-03   0.00000e+00
 50 180  45  4.54141e-01  -1.61943e-18   5.25148e-03   0.00000e+00
 50 180  50  4.54141e-01   9.11910e-04   5.17170e-03   0.00000e+00
 50 180  55  4.54141e-01   1.79611e-03   4.93478e-03   0.00000e+00
 50 180  59  4.54141e-01   2.62574e-03   4.54792e-03   0.00000e+00
 50 180  65  4.54141e-01   3.37559e-03   4.02287e-03   0.00000e+00
 50 180  70  4.54141e-01   4.02287e-03   3.37559e-03   0.00000e+00
 50 180  75  4.54141e-01   4.54792e-03   2.62574e-03   0.00000e+00
 50 180  80  4.54141e-01   4.93478e-03   1.79611e-03   0.00000e+00
 50 180  85  4.54141e-01   5.17170e-03   9.11910e-04   0.00000e+00
 50 180  90  4.54141e-01   5.25148e-03   1.92936e-18   0.00000e+00
 50 180  95  4.54141e-01   5.17170e-03  -9.11910e-04   0.00000e+00
 50 180 100  4.54141e-01   4.93478e-03  -1.79611e-03   0.00000e+00
 50 180 105  4.54141e-01   4.54792e-03  -2.62574e-03   0.00000e+00
 50 180 110  4.54141e-01   4.02287e-03  -3.37559e-03   0.00000e+00
 50 180 115  4.54141e-01   3.37559e-03  -4.02287e-03   0.00000e+00
 50 180 119  4.54141e-01   2.62574e-03  -4.54792e-03   0.00000e+00
 50 180 125  4.54141e-01   1.79611e-03  -4.93478e-03   0.00000e+00
 50 180 130  4.54141e-01   9.11910e-04  -5.17170e-03   0.00000e+00
 50 180 135  4.54141e-01   2.25223e-18  -5.25148e-03   0.00000e+00
 50 180 140  4.54141e-01  -9.11910e-04  -5.17170e-03   0.00000e+00
 50 180 145  4.54141e-01  -1.79611e-03  -4.93478e-03   0.00000e+00
 50 180 150  4.54141e-01  -2.62574e-03  -4.54792e-03   0.00000e+00
 50 180 155  4.54141e-01  -3.37559e-03  -4.02287e-03   0.00000e+00
 50 180 160  4.54141e-01  -4.02287e-03  -3.37559e-03   0.00000e+00
 50 180 165  4.54141e-01  -4.54792e-03  -2.62574e-03   0.00000e+00
 50 180 170  4.54141e-01  -4.93478e-03  -1.79611e-03   0.00000e+00
 50 180 175  4.54141e-01  -5.17170e-03  -9.11910e-04   0.00000e+00
 50 180 180  4.54141e-01  -5.25148e-03   0.00000e+00   0.00000e+00
 50 179   0  4.49264e-01  -5.49216e-03  -1.30351e-18   5.43958e-22
 50 179   5  4.49282e-01  -5.41038e-03   9.39174e-04  -3.87146e-07
 50 179  10  4.49334e-01  -5.16754e-03   1.84988e-03  -7.71473e-07
 50 179  14  4.49421e-01  -4.77110e-03   2.70455e-03  -1.15018e-06
 50 179  20  4.49542e-01  -4.23320e-03   3.47733e-03  -1.52050e-06
 50 179  25  4.49695e-01  -3.57034e-03   4.14492e-03  -1.87973e-06
 50 179  29  4.49880e-01  -2.80280e-03   4.68726e-03  -2.22522e-06
 50 179  35  4.50095e-01  -1.95404e-03   5.08818e-03  -2.55440e-06
 50 179  40  4.50340e-01  -1.04999e-03   5.33586e-03  -2.86484e-06
 50 179  45  4.50614e-01  -1.18176e-04   5.42321e-03  -3.15421e-06
 50 179  50  4.50915e-01   8.13068e-04   5.34804e-03  -3.42031e-06
 50 179  55  4.51243e-01   1.71551e-03   5.11317e-03  -3.66110e-06
 50 179  59  4.51597e-01   2.56186e-03   4.72627e-03  -3.87473e-06
 50 179  65  4.51975e-01   3.32665e-03   4.19964e-03  -4.05950e-06
 50 179  70  4.52376e-01   3.98696e-03   3.54985e-03  -4.21395e-06
 50 179  75  4.52797e-01   4.52316e-03   2.79715e-03  -4.33680e-06
 50 179  80  4.53234e-01   4.91952e-03   1.96490e-03  -4.42702e-06
 50 179  85  4.53682e-01   5.16461e-03   1.07879e-03  -4.48380e-06
 50 179  90  4.54135e-01   5.25176e-03   1.66058e-04  -4.50659e-06
 50 179  95  4.54589e-01   5.17912e-03  -7.45401e-04  -4.49507e-06
 50 179 100  4.55039e-01   4.94976e-03  -1.62787e-03  -4.44922e-06
 50 179 105  4.55479e-01   4.57150e-03  -2.45469e-03  -4.36926e-06
 50 179 110  4.55906e-01   4.05665e-03  -3.20103e-03  -4.25568e-06
 50 179 115  4.56319e-01   3.42156e-03  -3.84467e-03  -4.10923e-06
 50 179 119  4.56715e-01   2.68615e-03  -4.36661e-03  -3.93095e-06
 50 179 125  4.57092e-01   1.87322e-03  -4.75162e-03  -3.72210e-06
 50 179 130  4.57449e-01   1.00781e-03  -4.98867e-03  -3.48424e-06
 50 179 135  4.57783e-01   1.16418e-04  -5.07125e-03  -3.21913e-06
 50 179 140  4.58093e-01  -7.73818e-04  -4.99750e-03  -2.92877e-06
 50 179 145  4.58375e-01  -1.63590e-03  -4.77030e-03  -2.61540e-06
 50 179 150  4.58627e-01  -2.44380e-03  -4.39707e-03  -2.28143e-06
 50 179 155  4.58846e-01  -3.17320e-03  -3.88963e-03  -1.92946e-06
 50 179 160  4.59028e-01  -3.80222e-03  -3.26371e-03  -1.56223e-06
 50 179 165  4.59173e-01  -4.31204e-03  -2.53859e-03  -1.18264e-06
 50 179 170  4.59278e-01  -4.68745e-03  -1.73640e-03  -7.93676e-07
 50 179 175  4.59341e-01  -4.91725e-03  -8.81557e-04  -3.98418e-07
 50 179 180  4.59362e-01  -4.99462e-03   0.00000e+00   0.00000e+00
 50 178   0  4.44725e-01  -5.71883e-03  -1.33766e-18   1.07213e-21
 50 178   5  4.44758e-01  -5.63541e-03   9.63872e-04  -7.63101e-07
 50 178  10  4.44854e-01  -5.38771e-03   1.89874e-03  -1.52090e-06
 50 178  14  4.45016e-01  -4.98334e-03   2.77651e-03  -2.26814e-06
 50 178  20  4.45243e-01  -4.43468e-03   3.57084e-03  -2.99959e-06
 50 178  25  4.45534e-01  -3.75855e-03   4.25799e-03  -3.71010e-06
 50 178  29  4.45892e-01  -2.97564e-03   4.81753e-03  -4.39463e-06
 50 178  35  4.46315e-01  -2.10991e-03   5.23296e-03  -5.04826e-06
 50 178  40  4.46802e-01  -1.18781e-03   5.49226e-03  -5.66625e-06
 50 178  45  4.47348e-01  -2.37513e-04   5.58826e-03  -6.24401e-06
