# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 180   0  4.44432e-01  -4.96233e-03   1.19561e-04  -1.70769e-07
 50 180   5  4.48581e-01  -4.85715e-03   9.22228e-04  -2.22805e-07
 50 180  10  4.52928e-01  -4.66326e-03   1.80008e-03  -1.81484e-07
 50 180  14  4.54500e-01  -4.26203e-03   2.58819e-03  -4.08663e-07
 50 180  20  4.53891e-01  -3.76500e-03   3.43270e-03  -7.39947e-07
 50 180  25  4.52794e-01  -2.96189e-03   4.13032e-03  -6.91291e-07
 50 180  29  4.53296e-01  -2.22372e-03   4.67439e-03  -6.32488e-07
 50 180  35  4.55563e-01  -1.57784e-03   5.02068e-03  -5.04592e-07
 50 180  40  4.56710e-01  -8.93903e-04   5.21764e-03  -4.67514e-07
 50 180  45  4.56110e-01  -4.82167e-05   5.41961e-03  -5.75097e-07
 50 180  50  4.53261e-01   8.37501e-04   5.39463e-03  -7.62278e-07
 50 180  55  4.52992e-01   1.60436e-03   5.11510e-03  -7.66222e-07
 50 180  59  4.53249e-01   2.42379e-03   4.76202e-03  -6.48301e-07
 50 180  65  4.51409e-01   3.07987e-03   4.26250e-03  -7.41056e-07
 50 180  70  4.50252e-01   3.65224e-03   3.62504e-03  -1.03115e-06
 50 180  75  4.49355e-01   4.15706e-03   2.89515e-03  -2.58270e-06
 50 180  80  4.50819e-01   4.61125e-03   1.99903e-03  -5.17650e-06
 50 180  85  4.52058e-01   4.88233e-03   1.07291e-03  -6.42742e-06
 50 180  90  4.51618e-01   4.87459e-03   2.81182e-04  -7.04654e-06
 50 180  95  4.52629e-01   4.87247e-03  -5.30415e-04  -7.62991e-06
 50 180 100  4.54495e-01   4.78998e-03  -1.53104e-03  -6.16025e-06
 50 180 105  4.54362e-01   4.40283e-03  -2.40065e-03  -4.85997e-06
 50 180 110  4.54606e-01   3.93957e-03  -3.05029e-03  -3.21451e-06
 50 180 115  4.54923e-01   3.34241e-03  -3.67155e-03  -2.02916e-06
 50 180 119  4.55037e-01   2.55032e-03  -4.38683e-03  -1.41947e-06
 50 180 125  4.55157e-01   1.50691e-03  -4.86313e-03  -1.24539e-06
 50 180 130  4.56957e-01   6.88770e-04  -4.95815e-03  -1.27130e-06
 50 180 135  4.58748e-01  -3.69275e-04  -5.09116e-03  -1.33330e-06
 50 180 140  4.60245e-01  -1.13164e-03  -5.14768e-03  -1.41413e-06
 50 180 145  4.60205e-01  -1.90692e-03  -4.78117e-03  -1.25576e-06
 50 180 150  4.59504e-01  -2.63249e-03  -4.29085e-03  -1.27734e-06
 50 180 155  4.58213e-01  -3.11560e-03  -3.72754e-03  -1.32445e-06
 50 180 160  4.58639e-01  -3.69550e-03  -3.09905e-03  -1.46966e-06
 50 180 165  4.60073e-01  -4.44412e-03  -2.24465e-03  -1.51293e-06
 50 180 170  4.60136e-01  -4.73898e-03  -1.44869e-03  -1.35699e-06
 50 180 175  4.49130e-01  -4.61002e-03  -6.98090e-04  -6.09902e-07
 50 180 180  4.45238e-01  -4.07648e-03   5.51825e-05  -7.11328e-07
 50 179   0  4.41890e-01  -5.10968e-03   1.39547e-04  -1.63418e-07
 50 179   5  4.45888e-01  -5.04157e-03   9.48139e-04  -2.04049e-07
 50 179  10  4.49569e-01  -4.85058e-03   1.81636e-03  -7.67519e-07
 50 179  14  4.50699e-01  -4.52601e-03   2.67952e-03  -1.01937e-06
 50 179  20  4.50738e-01  -4.00795e-03   3.54540e-03  -1.27213e-06
 50 179  25  4.50233e-01  -3.18936e-03   4.20557e-03  -1.29098e-06
 50 179  29  4.50569e-01  -2.42822e-03   4.72831e-03  -1.23785e-06
 50 179  35  4.52533e-01  -1.74238e-03   5.07007e-03  -1.09254e-06
 50 179  40  4.53866e-01  -1.02312e-03   5.31958e-03  -1.01612e-06
 50 179  45  4.52994e-01  -1.24772e-04   5.50257e-03  -1.14651e-06
 50 179  50  4.51467e-01   7.99485e-04   5.48430e-03  -2.30924e-06
 50 179  55  4.50895e-01   1.57130e-03   5.21347e-03  -2.91484e-06
 50 179  59  4.51261e-01   2.35985e-03   4.83437e-03  -2.19238e-06
 50 179  65  4.49908e-01   3.04810e-03   4.35070e-03  -2.04023e-06
 50 179  70  4.49472e-01   3.65317e-03   3.69811e-03  -2.79808e-06
 50 179  75  4.48846e-01   4.15576e-03   2.93333e-03  -4.13442e-06
 50 179  80  4.50560e-01   4.63407e-03   2.03393e-03  -6.24868e-06
 50 179  85  4.51777e-01   4.88178e-03   1.10738e-03  -7.00156e-06
 50 179  90  4.51642e-01   4.87144e-03   2.98396e-04  -7.52754e-06
 50 179  95  4.53020e-01   4.86639e-03  -5.05271e-04  -8.57771e-06
 50 179 100  4.55321e-01   4.79697e-03  -1.47443e-03  -7.42554e-06
 50 179 105  4.55804e-01   4.43144e-03  -2.34599e-03  -6.61402e-06
 50 179 110  4.56824e-01   3.97533e-03  -2.98758e-03  -5.50384e-06
 50 179 115  4.57232e-01   3.38050e-03  -3.58169e-03  -4.78559e-06
 50 179 119  4.57524e-01   2.62877e-03  -4.27616e-03  -3.45494e-06
 50 179 125  4.58199e-01   1.63183e-03  -4.78635e-03  -3.44297e-06
 50 179 130  4.60289e-01   8.08680e-04  -4.85871e-03  -4.25389e-06
 50 179 135  4.61952e-01  -2.04110e-04  -4.95580e-03  -4.64220e-06
 50 179 140  4.63529e-01  -1.00757e-03  -5.04414e-03  -3.87222e-06
 50 179 145  4.63541e-01  -1.77982e-03  -4.67495e-03  -2.69592e-06
 50 179 150  4.61910e-01  -2.48621e-03  -4.17131e-03  -2.61775e-06
 50 179 155  4.61126e-01  -2.95992e-03  -3.62041e-03  -2.58608e-06
 50 179 160  4.61965e-01  -3.48552e-03  -3.01529e-03  -2.09313e-06
 50 179 165  4.63079e-01  -4.26190e-03  -2.17672e-03  -1.97565e-06
 50 179 170  4.63404e-01  -4.61563e-03  -1.42473e-03  -1.84239e-06
 50 179 175  4.54213e-01  -4.45386e-03  -6.71347e-04  -9.58347e-07
 50 179 180  4.49309e-01  -3.99549e-03   5.49824e-05  -7.27958e-07
 50 178   0  4.38102e-01  -5.30518e-03   1.38797e-04  -1.55538e-07
 50 178   5  4.42335e-01  -5.23988e-03   9.69093e-04  -8.60661e-07
 50 178  10  4.46255e-01  -5.07562e-03   1.83606e-03  -1.34146e-06
 50 178  14  4.46549e-01  -4.78749e-03   2.76270e-03  -1.60236e-06
 50 178  20  4.47281e-01  -4.26694e-03   3.65148e-03  -1.79789e-06
 50 178  25  4.47972e-01  -3.45892e-03   4.30483e-03  -2.50047e-06
 50 178  29  4.48357e-01  -2.64697e-03   4.81756e-03  -2.77785e-06
 50 178  35  4.49633e-01  -1.93095e-03   5.17352e-03  -2.88705e-06
 50 178  40  4.50784e-01  -1.18575e-03   5.44975e-03  -3.11315e-06
 50 178  45  4.49942e-01  -2.49141e-04   5.62851e-03  -3.97653e-06
 50 178  50  4.49715e-01   7.22822e-04   5.58261e-03  -4.84515e-06
 50 178  55  4.49323e-01   1.53373e-03   5.31219e-03  -5.52874e-06
 50 178  59  4.49334e-01   2.37700e-03   4.94170e-03  -5.12886e-06
 50 178  65  4.48427e-01   3.02635e-03   4.46833e-03  -4.66462e-06
 50 178  70  4.48669e-01   3.61224e-03   3.80542e-03  -5.38215e-06
 50 178  75  4.48482e-01   4.16766e-03   3.00609e-03  -6.45559e-06
 50 178  80  4.50483e-01   4.64326e-03   2.11074e-03  -8.33810e-06
 50 178  85  4.51506e-01   4.87764e-03   1.18624e-03  -8.96442e-06
 50 178  90  4.51725e-01   4.86496e-03   3.46348e-04  -9.58883e-06
