# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   0   0  2.26654e-01  -1.68686e-02   3.16642e-18   0.00000e+00
 50   0   5  2.26654e-01  -1.66123e-02  -2.92920e-03   0.00000e+00
 50   0  10  2.26654e-01  -1.58513e-02  -5.76941e-03   0.00000e+00
 50   0  14  2.26654e-01  -1.46086e-02  -8.43431e-03   0.00000e+00
 50   0  20  2.26654e-01  -1.29221e-02  -1.08429e-02   0.00000e+00
 50   0  25  2.26654e-01  -1.08429e-02  -1.29221e-02   0.00000e+00
 50   0  29  2.26654e-01  -8.43431e-03  -1.46086e-02   0.00000e+00
 50   0  35  2.26654e-01  -5.76941e-03  -1.58513e-02   0.00000e+00
 50   0  40  2.26654e-01  -2.92920e-03  -1.66123e-02   0.00000e+00
 50   0  45  2.26654e-01  -5.70806e-18  -1.68686e-02   0.00000e+00
 50   0  50  2.26654e-01   2.92920e-03  -1.66123e-02   0.00000e+00
 50   0  55  2.26654e-01   5.76941e-03  -1.58513e-02   0.00000e+00
 50   0  59  2.26654e-01   8.43431e-03  -1.46086e-02   0.00000e+00
 50   0  65  2.26654e-01   1.08429e-02  -1.29221e-02   0.00000e+00
 50   0  70  2.26654e-01   1.29221e-02  -1.08429e-02   0.00000e+00
 50   0  75  2.26654e-01   1.46086e-02  -8.43431e-03   0.00000e+00
 50   0  80  2.26654e-01   1.58513e-02  -5.76941e-03   0.00000e+00
 50   0  85  2.26654e-01   1.66123e-02  -2.92920e-03   0.00000e+00
 50   0  90  2.26654e-01   1.68686e-02  -6.19743e-18   0.00000e+00
 50   0  95  2.26654e-01   1.66123e-02   2.92920e-03   0.00000e+00
 50   0 100  2.26654e-01   1.58513e-02   5.76941e-03   0.00000e+00
 50   0 105  2.26654e-01   1.46086e-02   8.43431e-03   0.00000e+00
 50   0 110  2.26654e-01   1.29221e-02   1.08429e-02   0.00000e+00
 50   0 115  2.26654e-01   1.08429e-02   1.29221e-02   0.00000e+00
 50   0 119  2.26654e-01   8.43431e-03   1.46086e-02   0.00000e+00
 50   0 125  2.26654e-01   5.76941e-03   1.58513e-02   0.00000e+00
 50   0 130  2.26654e-01   2.92920e-03   1.66123e-02   0.00000e+00
 50   0 135  2.26654e-01   7.29127e-18   1.68686e-02   0.00000e+00
 50   0 140  2.26654e-01  -2.92920e-03   1.66123e-02   0.00000e+00
 50   0 145  2.26654e-01  -5.76941e-03   1.58513e-02   0.00000e+00
 50   0 150  2.26654e-01  -8.43431e-03   1.46086e-02   0.00000e+00
 50   0 155  2.26654e-01  -1.08429e-02   1.29221e-02   0.00000e+00
 50   0 160  2.26654e-01  -1.29221e-02   1.08429e-02   0.00000e+00
 50   0 165  2.26654e-01  -1.46086e-02   8.43431e-03   0.00000e+00
 50   0 170  2.26654e-01  -1.58513e-02   5.76941e-03   0.00000e+00
 50   0 175  2.26654e-01  -1.66123e-02   2.92920e-03   0.00000e+00
 50   0 180  2.26654e-01  -1.68686e-02   0.00000e+00   0.00000e+00
 50   1   0  2.29387e-01  -1.79269e-02   3.37255e-18  -2.67572e-22
 50   1   5  2.29378e-01  -1.76428e-02  -3.15592e-03   1.90373e-07
 50   1  10  2.29349e-01  -1.68003e-02  -6.20871e-03   3.78985e-07
 50   1  14  2.29302e-01  -1.54281e-02  -9.05900e-03   5.64093e-07
 50   1  20  2.29236e-01  -1.35725e-02  -1.16146e-02   7.44002e-07
 50   1  25  2.29150e-01  -1.12962e-02  -1.37940e-02   9.17077e-07
 50   1  29  2.29046e-01  -8.67518e-03  -1.55287e-02   1.08177e-06
 50   1  35  2.28922e-01  -5.79654e-03  -1.67656e-02   1.23665e-06
 50   1  40  2.28779e-01  -2.75492e-03  -1.74689e-02   1.38040e-06
 50   1  45  2.28617e-01   3.50619e-04  -1.76205e-02   1.51185e-06
 50   1  50  2.28435e-01   3.41999e-03  -1.72208e-02   1.62996e-06
 50   1  55  2.28236e-01   6.35548e-03  -1.62881e-02   1.73389e-06
 50   1  59  2.28022e-01   9.06505e-03  -1.48581e-02   1.82291e-06
 50   1  65  2.27797e-01   1.14655e-02  -1.29827e-02   1.89650e-06
 50   1  70  2.27565e-01   1.34854e-02  -1.07273e-02   1.95428e-06
 50   1  75  2.27332e-01   1.50674e-02  -8.16846e-03   1.99604e-06
 50   1  80  2.27104e-01   1.61703e-02  -5.39081e-03   2.02176e-06
 50   1  85  2.26886e-01   1.67691e-02  -2.48320e-03   2.03155e-06
 50   1  90  2.26682e-01   1.68559e-02   4.64572e-04   2.02567e-06
 50   1  95  2.26496e-01   1.64378e-02   3.36486e-03   2.00453e-06
 50   1 100  2.26328e-01   1.55361e-02   6.13454e-03   1.96862e-06
 50   1 105  2.26176e-01   1.41841e-02   8.69668e-03   1.91853e-06
 50   1 110  2.26041e-01   1.24260e-02   1.09816e-02   1.85491e-06
 50   1 115  2.25919e-01   1.03151e-02   1.29279e-02   1.77848e-06
 50   1 119  2.25808e-01   7.91341e-03   1.44830e-02   1.68999e-06
 50   1 125  2.25707e-01   5.29025e-03   1.56048e-02   1.59024e-06
 50   1 130  2.25614e-01   2.52108e-03   1.62625e-02   1.48004e-06
 50   1 135  2.25530e-01  -3.14104e-04   1.64381e-02   1.36025e-06
 50   1 140  2.25453e-01  -3.13295e-03   1.61273e-02   1.23173e-06
 50   1 145  2.25384e-01  -5.85323e-03   1.53398e-02   1.09537e-06
 50   1 150  2.25324e-01  -8.39543e-03   1.40998e-02   9.52068e-07
 50   1 155  2.25272e-01  -1.06853e-02   1.24444e-02   8.02758e-07
 50   1 160  2.25229e-01  -1.26563e-02   1.04233e-02   6.48383e-07
