# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   0   0  2.28628e-01  -1.91050e-02  -2.25609e-04  -1.74204e-07
 50   0   5  2.26938e-01  -1.77834e-02  -2.96134e-03  -6.85905e-08
 50   0  10  2.26795e-01  -1.71764e-02  -5.68856e-03   2.07988e-08
 50   0  14  2.26590e-01  -1.52821e-02  -8.49031e-03   2.54939e-07
 50   0  20  2.26950e-01  -1.35208e-02  -1.09316e-02   2.94565e-08
 50   0  25  2.27332e-01  -1.17836e-02  -1.29701e-02   2.68598e-08
 50   0  29  2.27409e-01  -9.50104e-03  -1.49790e-02   1.86210e-07
 50   0  35  2.27495e-01  -6.34395e-03  -1.60213e-02   2.48956e-07
 50   0  40  2.27361e-01  -3.84672e-03  -1.65284e-02   3.21088e-07
 50   0  45  2.27141e-01  -7.28438e-04  -1.68369e-02   3.91797e-07
 50   0  50  2.27332e-01   2.17906e-03  -1.66017e-02   5.86977e-07
 50   0  55  2.27419e-01   5.44827e-03  -1.58090e-02   5.71069e-07
 50   0  59  2.26952e-01   8.38332e-03  -1.45545e-02   4.51987e-07
 50   0  65  2.27062e-01   1.09894e-02  -1.29928e-02   5.51966e-07
 50   0  70  2.27401e-01   1.35473e-02  -1.10421e-02   7.62850e-07
 50   0  75  2.27238e-01   1.53048e-02  -8.49021e-03   9.95686e-07
 50   0  80  2.27198e-01   1.67427e-02  -5.55778e-03   1.19073e-06
 50   0  85  2.27346e-01   1.72741e-02  -2.30978e-03   1.69123e-06
 50   0  90  2.27654e-01   1.74868e-02   8.65186e-04   2.53617e-06
 50   0  95  2.27609e-01   1.66582e-02   4.16166e-03   2.09146e-06
 50   0 100  2.27253e-01   1.52677e-02   7.40954e-03   8.97553e-07
 50   0 105  2.26702e-01   1.37990e-02   9.63112e-03   8.45161e-07
 50   0 110  2.27401e-01   1.20701e-02   1.16700e-02   6.94722e-07
 50   0 115  2.27652e-01   9.98902e-03   1.36808e-02   6.31331e-07
 50   0 119  2.27720e-01   7.58200e-03   1.52283e-02   5.21591e-07
 50   0 125  2.27570e-01   4.89380e-03   1.65960e-02   4.62505e-07
 50   0 130  2.27238e-01   2.34288e-03   1.70986e-02   4.42905e-07
 50   0 135  2.27150e-01  -7.47425e-04   1.73392e-02   3.53794e-07
 50   0 140  2.27209e-01  -3.77773e-03   1.70144e-02   2.80478e-07
 50   0 145  2.27130e-01  -6.60219e-03   1.60304e-02   1.64834e-07
 50   0 150  2.26575e-01  -9.16983e-03   1.47971e-02   6.85610e-08
 50   0 155  2.26095e-01  -1.12655e-02   1.36581e-02  -2.96899e-08
 50   0 160  2.26115e-01  -1.27527e-02   1.11535e-02  -1.60711e-07
 50   0 165  2.26032e-01  -1.37035e-02   8.24793e-03  -1.93282e-07
 50   0 170  2.26097e-01  -1.48253e-02   5.75881e-03  -2.29372e-07
 50   0 175  2.26009e-01  -1.55596e-02   2.84513e-03  -2.13913e-07
 50   0 180  2.24963e-01  -1.61023e-02   4.80943e-04  -2.67151e-07
 50   1   0  2.30538e-01  -1.99691e-02  -2.32976e-04  -1.71473e-07
 50   1   5  2.28704e-01  -1.87747e-02  -3.11805e-03   6.93184e-08
 50   1  10  2.28649e-01  -1.78527e-02  -6.12059e-03   2.66926e-07
 50   1  14  2.28718e-01  -1.60802e-02  -8.95238e-03   6.82880e-07
 50   1  20  2.29316e-01  -1.42715e-02  -1.14917e-02   8.81340e-07
 50   1  25  2.29709e-01  -1.22244e-02  -1.38079e-02   9.85598e-07
 50   1  29  2.29708e-01  -9.84477e-03  -1.56606e-02   1.66272e-06
 50   1  35  2.29275e-01  -6.55717e-03  -1.65722e-02   1.70577e-06
 50   1  40  2.29069e-01  -3.67716e-03  -1.70333e-02   1.56526e-06
 50   1  45  2.28689e-01  -2.85815e-04  -1.70650e-02   1.43383e-06
 50   1  50  2.28728e-01   2.82930e-03  -1.67287e-02   1.93336e-06
 50   1  55  2.28743e-01   6.14699e-03  -1.59763e-02   1.97928e-06
 50   1  59  2.28445e-01   9.02445e-03  -1.47348e-02   1.67034e-06
 50   1  65  2.28318e-01   1.14816e-02  -1.30861e-02   1.50310e-06
 50   1  70  2.28260e-01   1.40582e-02  -1.10468e-02   1.32555e-06
 50   1  75  2.27829e-01   1.57051e-02  -8.50187e-03   1.54421e-06
 50   1  80  2.27611e-01   1.70013e-02  -5.40676e-03   1.98154e-06
 50   1  85  2.27613e-01   1.74472e-02  -2.22652e-03   2.14461e-06
 50   1  90  2.27745e-01   1.75154e-02   1.00024e-03   3.00140e-06
 50   1  95  2.27556e-01   1.66066e-02   4.27619e-03   2.82489e-06
 50   1 100  2.27420e-01   1.52583e-02   7.42339e-03   1.66748e-06
 50   1 105  2.27188e-01   1.37818e-02   9.67162e-03   8.57707e-07
 50   1 110  2.27830e-01   1.21168e-02   1.17972e-02   8.78815e-07
 50   1 115  2.28108e-01   9.92197e-03   1.35059e-02   8.97291e-07
 50   1 119  2.27917e-01   7.27231e-03   1.51405e-02   6.37278e-07
 50   1 125  2.27661e-01   4.71780e-03   1.62865e-02   5.12986e-07
 50   1 130  2.27189e-01   2.11211e-03   1.66093e-02   5.30949e-07
 50   1 135  2.26937e-01  -1.12296e-03   1.67907e-02   5.69550e-07
 50   1 140  2.26721e-01  -3.95035e-03   1.65921e-02   5.84928e-07
 50   1 145  2.26486e-01  -6.31160e-03   1.55054e-02   5.87383e-07
 50   1 150  2.26087e-01  -8.69662e-03   1.43744e-02   5.78218e-07
 50   1 155  2.25865e-01  -1.08293e-02   1.33656e-02   5.64330e-07
 50   1 160  2.25524e-01  -1.25185e-02   1.08543e-02   4.19535e-07
 50   1 165  2.24544e-01  -1.36869e-02   7.92115e-03   2.60497e-07
 50   1 170  2.23784e-01  -1.45285e-02   5.46165e-03   8.69936e-08
 50   1 175  2.23470e-01  -1.50238e-02   2.53650e-03  -1.02078e-07
 50   1 180  2.22965e-01  -1.55132e-02   3.70967e-04  -2.48925e-07
