# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 180   0  5.52823e-01   1.56753e-02   3.77766e-18   0.00000e+00
 50 180   5  5.52823e-01   1.54372e-02  -2.72199e-03   0.00000e+00
 50 180  10  5.52823e-01   1.47300e-02  -5.36128e-03   0.00000e+00
 50 180  14  5.52823e-01   1.35752e-02  -7.83766e-03   0.00000e+00
 50 180  20  5.52823e-01   1.20080e-02  -1.00759e-02   0.00000e+00
 50 180  25  5.52823e-01   1.00759e-02  -1.20080e-02   0.00000e+00
 50 180  29  5.52823e-01   7.83766e-03  -1.35752e-02   0.00000e+00
 50 180  35  5.52823e-01   5.36128e-03  -1.47300e-02   0.00000e+00
 50 180  40  5.52823e-01   2.72199e-03  -1.54372e-02   0.00000e+00
 50 180  45  5.52823e-01   4.83392e-18  -1.56753e-02   0.00000e+00
 50 180  50  5.52823e-01  -2.72199e-03  -1.54372e-02   0.00000e+00
 50 180  55  5.52823e-01  -5.36128e-03  -1.47300e-02   0.00000e+00
 50 180  59  5.52823e-01  -7.83766e-03  -1.35752e-02   0.00000e+00
 50 180  65  5.52823e-01  -1.00759e-02  -1.20080e-02   0.00000e+00
 50 180  70  5.52823e-01  -1.20080e-02  -1.00759e-02   0.00000e+00
 50 180  75  5.52823e-01  -1.35752e-02  -7.83766e-03   0.00000e+00
 50 180  80  5.52823e-01  -1.47300e-02  -5.36128e-03   0.00000e+00
 50 180  85  5.52823e-01  -1.54372e-02  -2.72199e-03   0.00000e+00
 50 180  90  5.52823e-01  -1.56753e-02  -5.75902e-18   0.00000e+00
 50 180  95  5.52823e-01  -1.54372e-02   2.72199e-03   0.00000e+00
 50 180 100  5.52823e-01  -1.47300e-02   5.36128e-03   0.00000e+00
 50 180 105  5.52823e-01  -1.35752e-02   7.83766e-03   0.00000e+00
 50 180 110  5.52823e-01  -1.20080e-02   1.00759e-02   0.00000e+00
 50 180 115  5.52823e-01  -1.00759e-02   1.20080e-02   0.00000e+00
 50 180 119  5.52823e-01  -7.83766e-03   1.35752e-02   0.00000e+00
 50 180 125  5.52823e-01  -5.36128e-03   1.47300e-02   0.00000e+00
 50 180 130  5.52823e-01  -2.72199e-03   1.54372e-02   0.00000e+00
 50 180 135  5.52823e-01  -6.72275e-18   1.56753e-02   0.00000e+00
 50 180 140  5.52823e-01   2.72199e-03   1.54372e-02   0.00000e+00
 50 180 145  5.52823e-01   5.36128e-03   1.47300e-02   0.00000e+00
 50 180 150  5.52823e-01   7.83766e-03   1.35752e-02   0.00000e+00
 50 180 155  5.52823e-01   1.00759e-02   1.20080e-02   0.00000e+00
 50 180 160  5.52823e-01   1.20080e-02   1.00759e-02   0.00000e+00
 50 180 165  5.52823e-01   1.35752e-02   7.83766e-03   0.00000e+00
 50 180 170  5.52823e-01   1.47300e-02   5.36128e-03   0.00000e+00
 50 180 175  5.52823e-01   1.54372e-02   2.72199e-03   0.00000e+00
 50 180 180  5.52823e-01   1.56753e-02   0.00000e+00   0.00000e+00
 50 179   0  5.38034e-01   1.54533e-02   3.67125e-18   1.66636e-22
 50 179   5  5.38089e-01   1.52260e-02  -2.64576e-03  -1.18610e-07
 50 179  10  5.38253e-01   1.45505e-02  -5.21450e-03  -2.36430e-07
 50 179  14  5.38526e-01   1.34462e-02  -7.63133e-03  -3.52673e-07
 50 179  20  5.38905e-01   1.19447e-02  -9.82555e-03  -4.66561e-07
 50 179  25  5.39387e-01   1.00889e-02  -1.17327e-02  -5.77331e-07
 50 179  29  5.39971e-01   7.93240e-03  -1.32962e-02  -6.84235e-07
 50 179  35  5.40651e-01   5.53743e-03  -1.44694e-02  -7.86545e-07
 50 179  40  5.41423e-01   2.97351e-03  -1.52165e-02  -8.83557e-07
 50 179  45  5.42282e-01   3.15442e-04  -1.55137e-02  -9.74595e-07
 50 179  50  5.43222e-01  -2.35877e-03  -1.53506e-02  -1.05901e-06
 50 179  55  5.44237e-01  -4.97011e-03  -1.47298e-02  -1.13618e-06
 50 179  59  5.45320e-01  -7.44084e-03  -1.36675e-02  -1.20552e-06
 50 179  65  5.46463e-01  -9.69675e-03  -1.21928e-02  -1.26647e-06
