# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 180   0  5.60260e-01   1.63938e-02  -5.04757e-05  -1.42297e-07
 50 180   5  5.54286e-01   1.50937e-02  -2.20834e-03   3.34497e-08
 50 180  10  5.50033e-01   1.41164e-02  -4.49046e-03   1.27449e-07
 50 180  14  5.52575e-01   1.31087e-02  -7.53387e-03   1.56591e-08
 50 180  20  5.54808e-01   1.13439e-02  -9.95845e-03  -1.52914e-08
 50 180  25  5.58618e-01   9.00431e-03  -1.20914e-02  -8.63581e-08
 50 180  29  5.60376e-01   6.84408e-03  -1.35187e-02  -1.91289e-07
 50 180  35  5.59186e-01   4.54841e-03  -1.44232e-02  -2.69757e-07
 50 180  40  5.60520e-01   2.18594e-03  -1.52527e-02  -3.21218e-07
 50 180  45  5.59042e-01  -6.93164e-04  -1.54585e-02  -3.54982e-07
 50 180  50  5.59771e-01  -3.73076e-03  -1.50556e-02  -3.46830e-07
 50 180  55  5.64297e-01  -6.13142e-03  -1.44438e-02  -2.72266e-07
 50 180  59  5.66016e-01  -9.13356e-03  -1.35801e-02  -1.79133e-07
 50 180  65  5.69582e-01  -1.12134e-02  -1.19527e-02  -1.81720e-07
 50 180  70  5.70849e-01  -1.28630e-02  -9.89753e-03  -2.40184e-07
 50 180  75  5.71928e-01  -1.46160e-02  -7.45453e-03  -3.52457e-07
 50 180  80  5.71779e-01  -1.55773e-02  -5.24243e-03  -7.54452e-07
 50 180  85  5.70017e-01  -1.62644e-02  -3.07496e-03  -1.14815e-06
 50 180  90  5.68790e-01  -1.64107e-02   8.58500e-05  -1.58268e-06
 50 180  95  5.69196e-01  -1.64770e-02   3.09101e-03  -1.23983e-06
 50 180 100  5.67196e-01  -1.60819e-02   5.38868e-03  -7.01371e-07
 50 180 105  5.63385e-01  -1.46551e-02   7.50379e-03  -8.18876e-07
 50 180 110  5.58933e-01  -1.27666e-02   1.01216e-02  -9.65996e-07
 50 180 115  5.56212e-01  -1.08414e-02   1.18153e-02  -6.19356e-07
 50 180 119  5.53071e-01  -8.46718e-03   1.34027e-02  -4.93803e-07
 50 180 125  5.49437e-01  -5.53278e-03   1.46988e-02  -4.75514e-07
 50 180 130  5.45911e-01  -2.70261e-03   1.53553e-02  -4.44025e-07
 50 180 135  5.43202e-01   2.34049e-04   1.54050e-02  -4.45918e-07
 50 180 140  5.44583e-01   3.02800e-03   1.51473e-02  -4.73038e-07
 50 180 145  5.56829e-01   5.90455e-03   1.51399e-02  -4.90660e-07
 50 180 150  5.59546e-01   8.39270e-03   1.40230e-02  -5.12055e-07
 50 180 155  5.51902e-01   1.08812e-02   1.13638e-02  -4.45391e-07
 50 180 160  5.42549e-01   1.26193e-02   9.79016e-03  -3.67274e-07
 50 180 165  5.36598e-01   1.34491e-02   7.92323e-03  -2.42005e-07
 50 180 170  5.47448e-01   1.46366e-02   5.37002e-03  -1.94188e-07
 50 180 175  5.33877e-01   1.57125e-02   2.78707e-03  -5.77036e-08
 50 180 180  5.50530e-01   1.72611e-02   3.08189e-04   1.06531e-07
 50 179   0  5.48219e-01   1.62261e-02  -5.40959e-05  -1.11670e-07
 50 179   5  5.43573e-01   1.50519e-02  -2.21532e-03   7.98005e-08
 50 179  10  5.40662e-01   1.40218e-02  -4.58945e-03  -4.79682e-09
 50 179  14  5.43486e-01   1.31606e-02  -7.58622e-03  -1.07291e-07
 50 179  20  5.46108e-01   1.14961e-02  -9.98453e-03  -1.37820e-07
 50 179  25  5.50299e-01   9.36836e-03  -1.20963e-02  -2.41600e-07
 50 179  29  5.51837e-01   7.38475e-03  -1.34560e-02  -3.40339e-07
 50 179  35  5.50567e-01   5.06771e-03  -1.43987e-02  -3.71665e-07
 50 179  40  5.52788e-01   2.68756e-03  -1.53150e-02  -5.32913e-07
 50 179  45  5.52447e-01   3.08903e-05  -1.56320e-02  -7.20466e-07
 50 179  50  5.53975e-01  -2.98137e-03  -1.52811e-02  -6.79839e-07
 50 179  55  5.59175e-01  -5.60318e-03  -1.47187e-02  -6.09905e-07
 50 179  59  5.62673e-01  -8.79445e-03  -1.38410e-02  -3.35996e-07
 50 179  65  5.66427e-01  -1.08719e-02  -1.23066e-02  -3.37661e-07
 50 179  70  5.68582e-01  -1.26109e-02  -1.02004e-02  -5.21236e-07
 50 179  75  5.70499e-01  -1.44884e-02  -7.64599e-03  -7.92350e-07
 50 179  80  5.70152e-01  -1.54921e-02  -5.38718e-03  -1.08669e-06
 50 179  85  5.69084e-01  -1.61974e-02  -3.16427e-03  -1.32605e-06
 50 179  90  5.68369e-01  -1.63594e-02  -2.51158e-05  -1.84570e-06
 50 179  95  5.69364e-01  -1.65092e-02   2.99972e-03  -1.49034e-06
 50 179 100  5.67778e-01  -1.61926e-02   5.30145e-03  -1.05575e-06
 50 179 105  5.65391e-01  -1.48009e-02   7.39394e-03  -1.17231e-06
 50 179 110  5.62661e-01  -1.30254e-02   1.00223e-02  -1.29838e-06
 50 179 115  5.61598e-01  -1.10974e-02   1.18176e-02  -1.09645e-06
 50 179 119  5.58910e-01  -8.72898e-03   1.34367e-02  -8.68705e-07
 50 179 125  5.55853e-01  -5.68940e-03   1.48468e-02  -1.01153e-06
 50 179 130  5.52676e-01  -2.92211e-03   1.54434e-02  -1.14457e-06
 50 179 135  5.51751e-01   3.56561e-05   1.55298e-02  -1.16335e-06
 50 179 140  5.52180e-01   2.66371e-03   1.50873e-02  -1.13907e-06
 50 179 145  5.59544e-01   5.42196e-03   1.48332e-02  -1.04861e-06
